Batch No,SSE,Silhouette Score
0,2462.792274358797,0.0024942426618983363
1,2465.342593822978,0.002326871566773553
2,2464.2595496998506,0.002829351422512067
3,2461.500209192609,0.003067145985443858
4,2459.92372439915,0.0031977744267106247
5,2458.8392750304306,0.0031858188539138272
6,2456.4568783238865,0.003329765395920546
7,2454.3921613640505,0.003749788929638498
8,2459.327052957332,0.0029068335347306514
9,2467.1181339025934,0.002287195549805306
10,2465.977276033581,0.0024954328940858606
11,2462.5629414611662,0.0029603885693473627
12,2462.0050368293464,0.0030431446162985307
13,2460.488327594027,0.0035723839752938914
14,2463.5367516861766,0.002639375621900239
15,2461.10161633975,0.0033536410564820487
16,2459.3063545482255,0.002772218837220166
17,2457.753727280868,0.0031836184853594727
18,2451.6726715924783,0.0035443738549490915
19,2454.874442961792,0.0038268656669593086
20,2463.593457729614,0.002912064066492842
21,2455.6600849144593,0.003326637810789845
22,2458.8645202697917,0.003253561005627937
23,2457.9154536201595,0.0036004104105587372
24,2458.324443679665,0.0033495789299428664
25,2459.4624289304543,0.003191135814664541
26,2464.979409455483,0.0025773366500551746
27,2451.301111020501,0.00419978473789671
28,2459.2933792475123,0.0036934461549289963
29,2466.364756063633,0.002846993717472177
30,2457.443905990813,0.003609749330506763
31,2465.858434700604,0.0028159567357876726
32,2462.154252380009,0.002967754273663985
33,2459.123568872822,0.0031643360765930234
34,2463.070755530969,0.0028965565616469154
35,2463.5995998238964,0.003080649632080724
36,2457.264432581526,0.0034700218719161922
37,2464.89707993782,0.0025163263094878353
38,2460.961928357151,0.0030317809922889532
39,2461.9336988147243,0.0028036840906009845
40,2462.7807768557386,0.002753781658101872
41,2464.9859165150046,0.0027809317789591306
42,2462.4466213955457,0.002806900631130603
43,2453.0916863120965,0.0041742035709301266
44,2460.6569768848317,0.003279763330755682
45,2460.237251065898,0.0038430184691731783
46,2462.859786547526,0.002927549442516119
47,2457.317494262247,0.003472036161478474
48,2463.6776599344,0.0027922317181755156
49,2456.8261808965053,0.0036908264331139756
50,2458.2697220507807,0.003262987533433176
51,2454.729965378002,0.003799353425436772
52,2463.9821111949746,0.002728410691860289
53,2456.9533705889316,0.004027625770878507
54,2457.707061343357,0.0034889719779868976
55,2463.795408875167,0.0027635800807839406
56,2460.6408032537115,0.0032629976131571792
57,2455.1707321136796,0.004205761065526356
58,2461.692537940851,0.003401002147447101
59,2452.860951805234,0.004332168219510746
60,2458.925295888142,0.0033317102310701143
61,2464.0458867482384,0.0028565717114482285
62,2456.25248549963,0.0037150744011811327
63,2463.24889986839,0.0030864383986808756
64,2462.2747577580594,0.003118659673963887
65,2460.4521165247634,0.0031109795087550032
66,2453.4658200048875,0.004407904242762729
67,2462.8550895917056,0.003073883307369846
68,2455.59989698184,0.00392350656634399
69,2459.510264492358,0.0037390128829167288
70,2459.6895200303243,0.0034536924533252675
71,2461.520373567523,0.002530450583708309
72,2453.554685439251,0.003831397445867757
73,2465.3181487740544,0.0026663234909636577
74,2462.5239627499977,0.0028952835787756244
75,2463.2623519868393,0.00320479939359503
76,2459.1817113325174,0.003474703123901353
77,2459.335996392384,0.003681384200926483
78,2451.9286024003413,0.004141675843007144
79,2457.245403379676,0.003695465032908253
80,2457.6847316772205,0.00353110466899586
81,2450.9792216149995,0.004421177649523529
82,2456.7339859936105,0.0035699355575958764
83,2459.845893755018,0.003125765657272402
84,2457.753644884223,0.0038081950629024162
85,2452.0861877810626,0.004251055103502444
86,2459.027504946918,0.0035017786817913062
87,2456.3706129456614,0.0037959091121244682
88,2457.1417090702234,0.003867872690362412
89,2453.502036489319,0.0038804390108652443
90,2465.4751828260555,0.0027710482018944425
91,2459.439588722832,0.00360108490539933
92,2467.1351818251655,0.0024758357943738545
93,2462.686477083776,0.002802042396955522
94,2452.5786687843743,0.004216555941129819
95,2454.060489875197,0.00399851953797962
96,2452.3593203772443,0.004159369543303789
97,2458.8319709638367,0.0032819248471501047
98,2454.574472155029,0.004106635039705306
99,2466.111704157766,0.002760420478182874
100,2456.6929580498436,0.003654859252002696
101,2452.024605822273,0.004161782680957766
102,2461.2279203427297,0.0030561230234321364
103,2451.4901484339534,0.004350969555760484
104,2456.4720204228515,0.003968026164989895
105,2458.335063980857,0.0037414773321933254
106,2456.4620418886957,0.0035569999881812342
107,2458.503952616839,0.00366177044623385
108,2455.549200929769,0.00404097521162396
109,2458.9313622718832,0.0035597599978458207
110,2459.9365572816428,0.002995899266041402
111,2452.6659257194688,0.004052488871033371
112,2459.9538375081625,0.003580520834663813
113,2447.924845618828,0.0047582060480333655
114,2459.1446158204335,0.003326420065390559
115,2459.2931896799687,0.003303345157113225
116,2452.9815611165322,0.004173179248616675
117,2465.9539086105015,0.002681275040217532
118,2463.6477528806154,0.0031275773892010385
119,2462.091585068815,0.002717803291711703
120,2458.515258907552,0.0034167446625696174
121,2459.4825026748777,0.003269637435885116
122,2458.787694893175,0.0033196219372597794
123,2463.0950240122133,0.003099593381269471
124,2458.251707375719,0.003286778521430915
125,2459.5839847477873,0.003885174484580007
126,2455.7502738386465,0.0038258526556398153
127,2462.552651631473,0.0029520259076760437
128,2460.834739087374,0.003349943996195685
129,2459.573401097684,0.0031058608470812986
130,2456.018900763886,0.0038086944182118537
131,2458.9921326752424,0.0032943797597907646
132,2457.7554222703693,0.003547085573159942
133,2452.4753780574133,0.004483369439062166
134,2458.1330825397354,0.003767071466275806
135,2456.2173358633954,0.004159549097919929
136,2457.5151089515816,0.0036927427819502404
137,2460.592040730069,0.003469641412583438
138,2461.5428259789915,0.003291093843171486
139,2463.862644764377,0.002442838647379558
140,2461.581255373474,0.003033322808620432
141,2464.3567334578274,0.003068371869962034
142,2464.7767202793198,0.002703458446884437
143,2460.428402695956,0.003246441739326212
144,2457.4488427776087,0.0035399966471486217
145,2455.6816696192213,0.003889486436750766
146,2450.7760566329257,0.0043340558126198315
147,2457.9524786654424,0.004019201684718022
148,2456.308129764843,0.003916375600577177
149,2462.36611770094,0.002954758698708616
150,2458.3827187856773,0.0033954553071869433
151,2457.7496676105525,0.0035235769360761567
152,2460.5384681789747,0.003385613586026531
153,2461.1469725462966,0.0030717206086491645
154,2457.2674294362328,0.003723712561667068
155,2456.7262506060915,0.0035074413845856724
156,2454.35520732503,0.0037940259088590535
157,2458.372326893379,0.003738672785549275
158,2453.6749683657786,0.0038871514129275838
159,2454.9416966020335,0.003870599244042523
160,2465.111257910908,0.0027926522964476824
161,2456.9731308251908,0.003603318539180239
162,2459.4316086358604,0.003502468379418201
163,2459.014742644556,0.003748643099567649
164,2457.954093241822,0.0037994718910885753
165,2454.623319452266,0.003933834573729269
166,2461.192127172775,0.0030781529046240864
167,2460.0322532290156,0.0031929940357420072
168,2453.6378955231075,0.004434480407099554
169,2457.2758011230853,0.0037220087448924816
170,2459.9548878981564,0.0030973598897211943
171,2456.7427005835784,0.0037138668183585672
172,2457.277884997426,0.0034074743028471837
173,2463.4106811268402,0.0027913390773724625
174,2459.8538105637663,0.00307521864145365
175,2453.1840079905355,0.004490543508295864
176,2462.6364896129207,0.0027719724011311606
177,2465.090206762086,0.0026741031882896783
178,2461.345018415955,0.003171548215679715
179,2459.2945758464966,0.0034416408025312742
180,2462.982450816713,0.003385723285902153
181,2459.21234200774,0.003503726121712433
182,2461.9859311598725,0.003280134271012395
183,2458.748568685036,0.0031907767912389465
184,2462.7935089961416,0.003223959889595644
185,2458.6841790693743,0.003331567684891863
186,2460.4624060997994,0.003041634585925837
187,2455.650225078891,0.004069319647794715
188,2457.930265603159,0.0036004573776062723
189,2459.9295641406834,0.0034466558194120177
190,2462.064832937519,0.003059426045214704
191,2458.021066004493,0.003418610972871519
192,2460.767526396431,0.0033628934102008443
193,2456.639446676112,0.0037964657656626172
194,2459.134732031035,0.0035087948149297886
195,2459.3701554808836,0.0031275315974393604
196,2462.569676302625,0.003593680324353312
197,2461.6883941134865,0.003090019810301365
198,2455.3758359947087,0.003800698793561525
199,2459.0968497372937,0.0034674620502570678
200,2460.114679468871,0.0033424721230899215
201,2461.442382457203,0.0031565406661278276
202,2456.551114859945,0.0038048279935269428
203,2460.117289029038,0.0034770880175393586
204,2458.528144015049,0.0037869670515426335
205,2452.347564713614,0.0037912944251380126
206,2464.397869043313,0.002502570788746994
207,2457.1101232924066,0.0034246317263686207
208,2459.140247583685,0.003403881296573371
209,2459.9935687109237,0.003001645053766155
210,2457.648302989014,0.003918934561689664
211,2452.74393929562,0.0037626981130632663
212,2458.585373344027,0.003613626473110975
213,2463.5565105103215,0.0026895186822216517
214,2455.3311154457224,0.0038057505897627153
215,2463.16675007449,0.003128546955020521
216,2455.6563835385023,0.0037426383273507454
217,2459.173672441237,0.0028790022212681955
218,2461.4550969843276,0.003059174231201054
219,2463.0928878966943,0.002942415257912757
220,2453.731301845496,0.004242727439668371
221,2459.846341584038,0.0031987859418833716
222,2459.63090813766,0.003642334150498329
223,2457.676600679099,0.003786411766543819
224,2455.8768931535897,0.0038812999717840655
225,2461.275329071427,0.0031673392591295623
226,2455.0874430547856,0.003706324762226962
227,2461.4781734089565,0.003084061190666083
228,2455.447913849071,0.004282236881950882
229,2458.015049075118,0.0032986236960300744
230,2462.1082797562963,0.002893783306780913
231,2462.531132824056,0.0028801161414926603
232,2457.8380293323034,0.003569888328416159
233,2464.1500712481075,0.0028873869280281526
234,2458.381460934214,0.0035285625512224777
235,2462.3894734278915,0.003201433582773463
236,2453.432047908842,0.0041332938950071445
237,2449.5557906114136,0.0049140238222768265
238,2462.410252219696,0.002971548844917801
239,2459.648909429203,0.0029182468022405208
240,2465.4847128693445,0.002595732260534711
241,2453.0993752599825,0.004150056725254143
242,2457.6359992136245,0.003757698524420249
243,2454.5579200181196,0.0041107574558854575
244,2458.014493331108,0.0036988856280255854
245,2460.6238460680765,0.003328647534142645
246,2459.6237135564215,0.0032048825638996362
247,2459.1468382710673,0.003259041293928898
248,2451.9929839330944,0.004134620156409561
249,2459.1147107376974,0.0033423887411845967
250,2458.5208690340346,0.0035826506213842884
251,2467.5178945382077,0.002711544366637734
252,2456.3130061712536,0.0032055525133882702
253,2457.670255130759,0.0035698389524409877
254,2461.835320266599,0.002969978488369366
255,2461.461404770918,0.0033094840353013874
256,2459.8925303306423,0.0032415860269145638
257,2461.882476423025,0.0031028402952716205
258,2456.6992505021353,0.003764918197460311
259,2459.9190133130464,0.0036361090093306216
260,2452.214617997863,0.0036624303869721066
261,2460.338055653512,0.0034249700574229968
262,2461.4681251401657,0.0028392339984104203
263,2461.043402521916,0.00300510598844505
264,2459.1488658494136,0.003207696364984871
265,2452.6321085090544,0.0040443966663025474
266,2463.252974767065,0.0026926653290005416
267,2457.0896075383853,0.0038420536801253625
268,2457.6789291288965,0.0034682161924583085
269,2455.0240569066814,0.004082285310933426
270,2459.9882448811177,0.003440794078933592
271,2459.6340558198212,0.0034641924750103137
272,2461.8914450550915,0.0030231192210386695
273,2459.7562800714013,0.003254001522713962
