Batch No,SGD L1 Accuracy,SGD L2 Accuracy,NB alpha 1 Accuracy,NB alpha 2 Accuracy,NB alpha 4 Accuracy,PA C 1 Accuracy,PA C 5 Accuracy
135,0.7381,0.7546,0.7918,0.7842,0.7768,0.8085,0.7842
136,0.7472,0.7563,0.7988,0.7925,0.7873,0.8215,0.7928
137,0.7388,0.7555,0.7952,0.7895,0.7837,0.8231,0.7928
138,0.7342,0.7558,0.8008,0.7922,0.7845,0.8215,0.8046
139,0.7428,0.7509,0.7911,0.7844,0.7803,0.8147,0.7951
140,0.7513,0.7658,0.8012,0.7932,0.7855,0.825,0.8012
141,0.7454,0.7588,0.8019,0.7953,0.7899,0.8199,0.8025
142,0.7438,0.7563,0.7937,0.7861,0.7798,0.8188,0.7884
143,0.7448,0.7572,0.7997,0.7936,0.7883,0.8166,0.7852
144,0.7383,0.7507,0.7965,0.7904,0.7848,0.8134,0.8022
145,0.7419,0.7545,0.7947,0.7875,0.7804,0.8233,0.7929
146,0.7442,0.7557,0.7956,0.7896,0.7816,0.8178,0.7928
147,0.7503,0.7599,0.8001,0.7943,0.7868,0.8281,0.8113
148,0.7439,0.7566,0.7919,0.7848,0.7788,0.8117,0.79
149,0.7447,0.7566,0.7927,0.7864,0.7817,0.8154,0.8006
150,0.7467,0.758,0.7906,0.7843,0.7784,0.8214,0.795
151,0.7448744874487448,0.7534753475347534,0.801980198019802,0.7948794879487949,0.7887788778877888,0.8166816681668166,0.7958795879587959
