Batch No,SSE,Silhouette Score,Accuracy
0,19595.2017139506,0.003013052862168154,0.50645
1,19619.81847843805,0.002754788956145772,0.50115
2,19572.949770293166,0.003065188472350848,0.5038
3,19598.775961622974,0.0036701964356012744,0.5102
4,19604.896135750463,0.002698582883510003,0.5067
5,19598.902799661708,0.00302509001984372,0.5092
6,19595.221733384806,0.0032053210777068814,0.5059
7,19589.76369072136,0.0027717502831691304,0.50295
8,19598.26518549915,0.00220824289660327,0.50165
9,19600.224177927892,0.0027496133574119535,0.50495
10,19569.760468665983,0.003491422901158046,0.51265
11,19592.829326614425,0.002897779142026261,0.5086
12,19573.26186370343,0.0035136855325324234,0.5082
13,19578.49530761787,0.00314666097089041,0.5057
14,19593.725029236986,0.003348540223366156,0.50595
15,19595.301015043904,0.0029631469763535525,0.5074
16,19587.919846926885,0.0028587155691616206,0.50335
17,19617.181467293383,0.002533113410896243,0.4963
18,19582.46014508699,0.003043559689697243,0.50425
19,19577.780225665243,0.0034976843699176343,0.5078
20,19595.824377365025,0.003379008094843144,0.5036
21,19579.916090300234,0.003583646019645146,0.50575
22,19611.546444375643,0.0028135200461114267,0.50175
23,19604.829397738114,0.0022730429443253803,0.49985
24,19600.841735270027,0.002663036940683333,0.50395
25,19595.023521245996,0.0029239624071312194,0.50735
26,19590.508811720938,0.0033825776563641257,0.5066
27,19596.096470068256,0.003176810836135391,0.5128
28,19595.42143555686,0.0030292328154557305,0.50265
29,19595.03561664085,0.0017995879960489014,0.5026
30,19593.30784688827,0.0026811444618986308,0.49975
31,19600.220228879156,0.0031402960939572113,0.50715
32,19597.72519784055,0.0023050807464199347,0.5056
33,19594.030577102843,0.002741347048208151,0.50385
34,19595.57275490801,0.003148396237151423,0.50685
35,19590.462912570074,0.003055654825159081,0.506
36,19602.99398531604,0.0021808420244262055,0.50715
37,19601.546000191174,0.0020259008464720025,0.50405
38,19603.440947086743,0.0027925727188227376,0.4944
39,19591.522853355338,0.0030921674174348166,0.50235
40,19589.425288605165,0.002842155337776179,0.50275
41,19597.60017382758,0.003324050315486298,0.5048
42,19580.80445967605,0.00304698195911045,0.50585
43,19597.690837399314,0.0029789487534399904,0.5075
44,19590.55934310378,0.0028614208002823095,0.50275
45,19584.945545610644,0.002965963725737074,0.5087
46,19603.528083061698,0.002937976115982605,0.5057
47,19599.77529286436,0.002505847641638655,0.50435
48,19594.518588627478,0.0031618580084572015,0.5138
49,19592.493823058983,0.0027769343678645743,0.5057
50,19590.219524035492,0.0026097194815555046,0.51195
51,19581.933378367954,0.0028040233538413435,0.5021
52,19591.86561561755,0.0027449065869985002,0.5098
53,19578.406939627068,0.003053041538725815,0.50245
54,19586.486248181503,0.0026723324459355896,0.50365
55,19618.676726100355,0.0018734094086594983,0.5112
56,19603.269422892667,0.0028593093765044452,0.5081
57,19613.245650715824,0.0029086930927554166,0.49815
58,19597.383017882912,0.002911265460426344,0.5002
59,19591.88834588993,0.003196885579151275,0.51105
60,19612.01863237218,0.0024419627154330446,0.50795
61,19607.373982253128,0.002617935110441106,0.50645
62,19595.276048380627,0.0026806889823980285,0.50865
63,19610.424053314888,0.002637383899714953,0.498
64,19596.295510855696,0.0020933241656968535,0.50295
65,19594.950332732264,0.002874617861163295,0.5056
66,19579.330158607605,0.0037454733915096576,0.50295
67,19589.451708187753,0.0030619091138464147,0.51035
68,19601.259395915222,0.00354111866276791,0.50535
69,19582.01884229422,0.003199846093561492,0.5011
70,19599.420080887452,0.002668564136107037,0.5026
71,19604.92470911771,0.002904979767044753,0.50235
72,19589.02096699635,0.003181896897690844,0.50695
73,19598.638370493416,0.002943326071519456,0.50755
74,19600.93624364503,0.0031891901142117826,0.5015
75,19582.016326115652,0.0035376884457868902,0.5049752487624382
