Batch No,SGD Accuracy,NB Accuracy,PA Accuracy
192,0.7534,0.7898,0.83
193,0.7662,0.8076,0.8436
194,0.7586,0.8036,0.8392
195,0.7548,0.8,0.8294
196,0.7618,0.8056,0.8316
197,0.7574,0.8054,0.8306
198,0.749,0.7926,0.836
199,0.7606,0.7992,0.8412
200,0.7546,0.7988,0.8408
201,0.7658,0.8002,0.8296
202,0.7668,0.796,0.8426
203,0.7532,0.7964,0.8262
204,0.7592,0.8016,0.8426
205,0.7598,0.8064,0.8418
206,0.77,0.8064,0.8418
207,0.751,0.7956,0.8334
208,0.7562,0.801,0.836
209,0.76,0.7942,0.8432
210,0.751,0.7988,0.8336
211,0.7548,0.8002,0.8244
212,0.749,0.7972,0.8358
213,0.7632,0.797,0.8348
214,0.7614,0.8066,0.8464
215,0.7598,0.7976,0.833
216,0.756,0.7952,0.8302
217,0.7624,0.8078,0.8496
218,0.7586,0.7976,0.8318
219,0.76,0.8024,0.8422
220,0.7634,0.807,0.8384
221,0.7658,0.8042,0.8582
222,0.7528,0.7994,0.8434
223,0.758,0.7966,0.8402
224,0.7628,0.8044,0.8424
225,0.755,0.798,0.8258
226,0.7662,0.8058,0.8418
227,0.7628,0.8054,0.8502
228,0.7556,0.7944,0.8374
229,0.7646,0.8104,0.8364
230,0.7592,0.8054,0.8326
231,0.7556,0.796,0.8252
232,0.7554,0.7898,0.8352
233,0.7528,0.798,0.8316
234,0.7526,0.7984,0.8458
235,0.7584,0.8012,0.8404
236,0.7632,0.7972,0.8448
237,0.762,0.799,0.8328
238,0.7512,0.7958,0.8374
239,0.769,0.8072,0.8474
240,0.7572,0.7984,0.8348
241,0.749,0.7864,0.839
242,0.7508,0.7918,0.8362
243,0.7604,0.7922,0.8318
244,0.7518,0.798,0.8344
245,0.7618,0.7994,0.8442
246,0.7638,0.791,0.8406
247,0.747,0.795,0.831
248,0.7602,0.8016,0.8362
249,0.7538,0.7878,0.8286
250,0.7536,0.7974,0.842
251,0.757,0.8,0.8496
252,0.757,0.8034,0.8348
253,0.7612,0.7936,0.8346
254,0.7692,0.8044,0.8428
255,0.7646,0.7982,0.8408
256,0.7568,0.7956,0.8346
257,0.7542,0.793,0.831
258,0.7518,0.797,0.826
259,0.7486,0.7952,0.8408
260,0.7486,0.7844,0.8362
261,0.7546,0.7954,0.8326
262,0.7506,0.8058,0.834
263,0.7648,0.7972,0.8376
264,0.7534,0.7908,0.836
265,0.7554,0.8018,0.8434
266,0.7548,0.7946,0.8402
267,0.7566,0.7946,0.839
268,0.763,0.8004,0.846
269,0.7584,0.8028,0.8358
270,0.7542,0.7898,0.8368
271,0.7546,0.794,0.836
272,0.7532,0.7952,0.8388
273,0.758,0.802,0.8458
274,0.7504,0.7942,0.8384
275,0.7618,0.796,0.8366
276,0.755,0.7958,0.8404
277,0.7552,0.8056,0.8362
278,0.7498,0.795,0.828
279,0.7524,0.7866,0.8372
280,0.7662,0.8028,0.8434
281,0.7678,0.7998,0.8332
282,0.7534,0.7964,0.8322
283,0.7646,0.8072,0.8438
284,0.7622,0.7884,0.8302
285,0.7496,0.7994,0.8346
286,0.7594,0.7984,0.8376
287,0.7552,0.8012,0.8274
288,0.7406,0.7932,0.828
289,0.7636,0.7998,0.843
290,0.7518,0.7902,0.8418
